"";"k";"v";"Simulado";"Observado";"Desvio";"DesvioPercentual";"DesvioPercentual2"
"1";"k=0   ";"v=0";0,0564838277376719;0,025;0,0314838277376719;25,9353109506876;-20,5941532640064
"2";"k=0   ";"v=0.001";0,0542324997000109;0,025;0,0292324997000109;16,9299988000436;-14,478747091236
"3";"k=0   ";"v=0.01";0,0406528875217114;0,025;0,0156528875217114;-37,3884499131544;59,7149405521739
"4";"k=0.001";"v=0";0,0465601417276331;0,025;0,021560141727633;-13,7594330894678;15,9547108540487
"5";"k=0.001";"v=0.001";0,0448841652064959;0,025;0,0198841652064959;-20,4633391740164;25,7281849168746
"6";"k=0.001";"v=0.01";0,0353194942995381;0,025;0,0103194942995381;-58,7220228018478;142,259933232572
"7";"k=0.005";"v=0";0,0276034996100641;0,025;0,00260349961006415;-89,5860015597434;860,245966750271
"8";"k=0.005";"v=0.001";0,027163292574014;0,025;0,002163292574014;-91,346829703944;1055,64581047918
"9";"k=0.005";"v=0.01";0,0233745673253564;0,025;0,0016254326746436;-93,4982693014256;1438,0520147032
"10";"k=0.01";"v=0";0,0180730025003699;0,025;0,0069269974996301;-72,2920100014796;260,906727645491
"11";"k=0.01";"v=0.001";0,0178256416064598;0,025;0,0071743583935402;-71,3025664258392;248,463216202163
"12";"k=0.01";"v=0.01";0,0159756694472138;0,025;0,0090243305527862;-63,9026777888552;177,028859412529
"13";"OBS   ";"v=0";0,025;0,025;0;-100;Inf
"14";"OBS   ";"v=0.001";0,025;0,025;0;-100;Inf
"15";"OBS   ";"v=0.01";0,025;0,025;0;-100;Inf
