;Jurumirim;Chavantes;Capivara;
1;0,02;0,02;0,03;
2;0,025;0,01333333;0,02333333;
3;0,12;0,01333333;0,06;
4;0,03;0,01333333;0,06;
5;0,07;0,03;0,03;
6;0,04333333;0,03;0,01;
7;0,08;0,025;0,035;
8;0,02;0,05;0,03333333;
9;0,02;0,035;0,03666667;
10;0,04;0,01666667;0,03;
11;0,02;0,01;0,03;
12;0,02;0,03;0,03;
13;0,04;0,03;0,02;
14;0,07;0,03666667;0,03;
15;0,015;0,02;0,035;
16;0,03;0,01;0,03666667;
17;0,02;0,01;0,025;
18;0,05;0,035;0,055;
19;0,05;0,06333333;0,03333333;
20;0,03;0,02666667;0,04;
21;0,02;0,035;0,055;
22;0,05;0,02;0,06333333;
23;0,03333333;0,12666667;0,045;
24;0,02;;0,06;
25;0,04;;0,03;
26;0,015;;0,02;
27;0,03;;0,01666667;
28;0,02;;0,02;
29;0,04;;0,01666667;
30;0,02;;0,02;
31;0,02;;0,01333333;
32;0,25;;0,015;
33;0,08;;;
34;0,03;;;
35;0,03;;;
36;0,02333333;;;
37;0,03;;;
38;0,02;;;
39;0,02;;;
40;0,02;;;
41;0,02;;;
42;0,02333333;;;
43;0,02;;;
44;0,02;;;
45;0,02;;;
46;0,01666667;;;
47;0,01333333;;;
48;0,06;;;
49;0,14;;;
50;0,04;;;
51;0,02;;;
52;0,02;;;
53;0,02333333;;;
54;0,02333333;;;
55;0,085;;;
56;0,08666667;;;
57;0,02666667;;;
58;0,07;;;
59;0,02;;;
60;0,02333333;;;
61;0,025;;;
62;0,02;;;
63;0,03;;;
64;0,03;;;
65;0,07;;;
66;0,02;;;
67;0,04;;;
68;0,02;;;
69;0,03;;;
70;0,02;;;
71;0,02;;;
72;0,03;;;
73;0,02;;;
74;0,08;;;
75;0,04;;;
76;0,05333333;;;
77;0,02;;;
78;0,02;;;
79;0,02;;;
80;0,025;;;
81;0,02;;;
82;0,03;;;
83;0,02;;;
84;0,09;;;
85;0,055;;;
